type,layers,train epochs,creation time,classifying time,true positive,true negative,false positive,false negative,unknown positive,unknown negative,total,precision,recall,total correct
naive,,,2.837042,14.601279,524,2399,255,95,0,0,3273,0.672657252888318,0.846526655896607,0.893064466849985
neural,[],10,7.22641,4.642339,297,295,1017,14,2,12,1637,0.226027397260274,0.94888178913738,0.36163714111179
neural,[],20,9.226558,5.716200E-02,303,257,1055,9,1,12,1637,0.223122238586156,0.968051118210863,0.34208918753818
neural,[],30,11.194436,5.795300E-02,294,451,866,19,0,7,1637,0.253448275862069,0.939297124600639,0.455100794135614
neural,[],40,13.148341,5.276500E-02,285,664,644,28,0,16,1637,0.306781485468245,0.910543130990415,0.579718998167379
neural,[],50,15.107255,5.155900E-02,281,794,517,31,1,13,1637,0.352130325814536,0.89776357827476,0.65668906536347
neural,[],60,17.161954,6.174600E-02,274,925,395,39,0,4,1637,0.409566517189836,0.875399361022364,0.73243738546121
neural,[],70,19.202294,6.509500E-02,284,856,458,28,1,10,1637,0.382749326145553,0.907348242811502,0.696395846059866
neural,[],80,21.233505,5.322800E-02,271,983,332,42,0,9,1637,0.449419568822554,0.865814696485623,0.766035430665852
neural,[],90,23.240557,4.837300E-02,280,858,463,31,2,3,1637,0.376850605652759,0.894568690095847,0.695174098961515
neural,[],100,17.574371,4.381715,284,917,401,25,1,9,1637,0.414598540145985,0.916129032258065,0.73365913255956
neural,[],200,30.206769,7.549300E-02,275,1086,235,34,1,6,1637,0.53921568627451,0.887096774193548,0.831398900427611
neural,[],300,43.135262,6.304600E-02,274,1086,235,34,2,6,1637,0.538310412573674,0.883870967741936,0.830788026878436
neural,[],400,55.955794,5.008300E-02,274,1086,235,34,2,6,1637,0.538310412573674,0.883870967741936,0.830788026878436
neural,[],500,68.793361,4.901400E-02,274,1086,236,34,2,5,1637,0.537254901960784,0.883870967741936,0.830788026878436
neural,[],600,81.414521,5.37900E-02,274,1086,235,34,2,6,1637,0.538310412573674,0.883870967741936,0.830788026878436
neural,[],700,93.862347,5.435800E-02,274,1086,235,34,2,6,1637,0.538310412573674,0.883870967741936,0.830788026878436
neural,[],800,105.820547,4.75700E-02,274,1087,235,34,2,5,1637,0.538310412573674,0.883870967741936,0.831398900427611
neural,[],900,117.631442,5.137500E-02,274,1087,234,34,2,6,1637,0.539370078740158,0.883870967741936,0.831398900427611
neural,[],1000,115.498165,3.787275,214,1221,107,89,3,3,1637,0.666666666666667,0.699346405228758,0.876603543066585
neural,[],2000,230.421714,4.956700E-02,215,1221,107,89,2,3,1637,0.667701863354037,0.702614379084967,0.87721441661576
neural,[],3000,340.996189,5.530800E-02,215,1221,107,89,2,3,1637,0.667701863354037,0.702614379084967,0.87721441661576
neural,[],4000,451.727092,5.535100E-02,215,1221,107,89,2,3,1637,0.667701863354037,0.702614379084967,0.87721441661576
neural,[],5000,561.947929,4.673800E-02,215,1221,107,89,2,3,1637,0.667701863354037,0.702614379084967,0.87721441661576
